feature,feature_chinese_names,NC-mean,NC-std,NC-range,AD-mean,AD-std,AD-range
OrG_R_6_5,右侧眶额_6_5,2973.253,361.1874,2612.0654-3334.4404,2715.942,413.5353,2302.4072-3129.4775
OrG_L_6_6,左侧眶额_6_6,1978.053,246.9317,1731.1212-2224.9846,1856.486,263.0562,1593.4297-2119.542
OrG_R_6_6,右侧眶额_6_6,1778.558,227.4636,1551.0948-2006.0221,1654.919,239.759,1415.1602-1894.6782
PrG_L_6_1,左侧中央前回_6_1,2366.422,334.136,2032.2859-2700.5579,2252.998,355.0099,1897.9878-2608.0078
PrG_R_6_1,右侧中央前回_6_1,1748.124,262.1852,1485.9388-2010.3092,1665.329,298.9662,1366.3625-1964.2949
PrG_L_6_2,左侧中央前回_6_2,1954.665,338.2309,1616.4342-2292.896,1815.361,375.4574,1439.9039-2190.8186
PrG_R_6_2,右侧中央前回_6_2,2361.099,392.6177,1968.4817-2753.717,2179.802,414.0738,1765.7286-2593.8762
PrG_L_6_3,左侧中央前回_6_3,1115.647,221.2515,894.3951-1336.8981,1058.275,247.7681,810.5068-1306.043
PrG_R_6_3,右侧中央前回_6_3,1489.019,259.1248,1229.8944-1748.1439,1414.568,274.6218,1139.946-1689.1895
PrG_L_6_4,左侧中央前回_6_4,560.1064,124.1495,435.9569-684.2559,532.9642,137.1342,395.83-670.0983
PrG_R_6_4,右侧中央前回_6_4,965.3895,197.7352,767.6542-1163.1248,930.3766,217.9461,712.4305-1148.3228
PrG_L_6_5,左侧中央前回_6_5,1553.191,198.6366,1354.5546-1751.8278,1474.42,205.6512,1268.769-1680.0715
PrG_R_6_5,右侧中央前回_6_5,1383.25,201.3823,1181.8677-1584.6323,1333.486,206.1945,1127.2913-1539.6804
PrG_L_6_6,左侧中央前回_6_6,2211.075,309.3591,1901.7161-2520.4343,2002.172,306.1612,1696.0107-2308.3333
PrG_R_6_6,右侧中央前回_6_6,1964.376,280.9074,1683.4685-2245.2834,1809.845,304.1879,1505.6572-2114.033
PCL_L_2_1,左侧副中央叶_2_1,1040.232,171.0755,869.1567-1211.3076,965.5,189.6956,775.8044-1155.1956
PCL_R_2_1,右侧副中央叶_2_1,1367.27,224.0678,1143.2021-1591.3379,1237.266,217.3242,1019.9417-1454.5901
PCL_L_2_2,左侧副中央叶_2_2,1238.906,214.6685,1024.2379-1453.5748,1180.274,254.5741,925.7-1434.8481
PCL_R_2_2,右侧副中央叶_2_2,1670.13,278.1272,1392.0032-1948.2576,1562.742,307.0839,1255.6577-1869.8254
STG_L_6_1,左侧颞上回_6_1,2823.456,371.9862,2451.4697-3195.4424,2358.377,448.0018,1910.3756-2806.3794
STG_R_6_1,右侧颞上回_6_1,2780.304,360.8404,2419.4639-3141.1445,2344.11,426.9252,1917.1852-2771.0356
STG_L_6_2,左侧颞上回_6_2,1471.397,259.6755,1211.7219-1731.0728,1341.849,262.5633,1079.2854-1604.4121
STG_R_6_2,右侧颞上回_6_2,1144.477,178.6672,965.8098-1323.1443,1053.576,189.1576,864.4187-1242.7339
STG_L_6_3,左侧颞上回_6_3,2366.448,317.7114,2048.7366-2684.1594,2115.521,326.5239,1788.9971-2442.0449
STG_R_6_3,右侧颞上回_6_3,2247.469,287.3823,1960.0872-2534.8518,2056.685,316.9975,1739.6874-2373.6824
STG_L_6_4,左侧颞上回_6_4,2101.018,288.474,1812.5441-2389.4922,1910.225,293.9594,1616.2653-2204.1841
