feature,feature_chinese_names,NC-mean,NC-std,NC-range,AD-mean,AD-std,AD-range
LOcC_R_4_3,右侧外侧枕叶皮层_4_3,3032.705,447.9964,2584.7087-3480.7014,2801.423,522.46,2278.9626-3323.8826
LOcC_L_4_4,左侧外侧枕叶皮层_4_4,3426.988,465.8377,2961.1499-3892.8252,3156.602,546.4651,2610.1365-3703.0667
LOcC_R_4_4,右侧外侧枕叶皮层_4_4,3103.673,423.1635,2680.5093-3526.8359,2863.637,499.3458,2364.2913-3362.9827
LOcC_L_2_1,左侧外侧枕叶皮层_2_1,1714.665,247.6296,1467.035-1962.2943,1610.499,294.158,1316.3412-1904.6571
LOcC_R_2_1,右侧外侧枕叶皮层_2_1,1900.194,277.24,1622.9542-2177.4341,1782.57,302.8336,1479.7367-2085.4038
LOcC_L_2_2,左侧外侧枕叶皮层_2_2,1549.671,221.4924,1328.1788-1771.1637,1428.898,253.3658,1175.5321-1682.2638
LOcC_R_2_2,右侧外侧枕叶皮层_2_2,2374.984,391.0358,1983.9481-2766.0198,2121.195,411.4713,1709.7241-2532.6665
Amyg_L_2_1,左侧杏仁核_2_1,686.6162,89.9628,596.6534-776.579,519.3323,117.1562,402.1761-636.4885
Amyg_R_2_1,右侧杏仁核_2_1,1060.3,131.9919,928.3079-1192.2915,815.5798,177.3597,638.22-992.9395
Amyg_L_2_2,左侧杏仁核_2_2,439.4486,50.6777,388.7709-490.1263,355.2227,66.24504,288.9777-421.4678
Amyg_R_2_2,右侧杏仁核_2_2,546.8354,65.26688,481.5685-612.1023,438.4295,83.98383,354.4457-522.4133
Hipp_L_2_1,左侧海马_2_1,2542.656,314.455,2228.2014-2857.1116,1949.465,391.8105,1557.6543-2341.2751
Hipp_R_2_1,右侧海马_2_1,2151.605,262.7764,1888.8286-2414.3813,1707.979,334.4764,1373.5023-2042.4552
Hipp_L_2_2,左侧海马_2_2,2196.209,241.0891,1955.1199-2437.2981,1739.79,290.9536,1448.8363-2030.7435
Hipp_R_2_2,右侧海马_2_2,2313.873,287.4498,2026.4229-2601.3223,1769.31,365.0843,1404.2261-2134.3945
BG_L_6_1,左侧基底核_6_1,1738.22,212.1268,1526.0936-1950.3473,1656.312,252.7646,1403.547-1909.0763
BG_R_6_1,右侧基底核_6_1,1338.455,172.9635,1165.4917-1511.4187,1295.854,191.8614,1103.9922-1487.7151
BG_L_6_2,左侧基底核_6_2,667.6578,108.3657,559.2921-776.0236,652.3904,120.1969,532.1936-772.5873
BG_R_6_2,右侧基底核_6_2,704.2379,111.2017,593.0363-815.4396,691.0493,125.4424,565.6068-816.4917
BG_L_6_3,左侧基底核_6_3,1190.913,123.8215,1067.0918-1314.7346,1084.296,149.7976,934.4982-1234.0934
BG_R_6_3,右侧基底核_6_3,1628.148,174.7514,1453.3969-1802.8995,1503.359,200.2918,1303.0674-1703.6509
BG_L_6_4,左侧基底核_6_4,1186.911,166.3481,1020.5629-1353.2592,1164.593,187.1262,977.467-1351.7192
BG_R_6_4,右侧基底核_6_4,962.6592,134.0236,828.6356-1096.6827,944.4421,151.4442,792.998-1095.8864
BG_L_6_5,左侧基底核_6_5,1744.014,279.136,1464.8777-2023.1497,1665.092,316.9369,1348.1552-1982.0289
BG_R_6_5,右侧基底核_6_5,2501.553,399.2337,2102.3191-2900.7864,2417.256,461.5291,1955.7268-2878.7849
BG_L_6_6,左侧基底核_6_6,1576.834,222.675,1354.1592-1799.5093,1510.447,229.066,1281.3811-1739.5132
BG_R_6_6,右侧基底核_6_6,1628.537,230.0028,1398.5338-1858.5394,1580.862,236.6771,1344.1848-1817.5391
Tha_L_8_1,左侧丘脑_8_1,766.9522,109.0543,657.8979-876.0065,656.9263,139.013,517.9133-795.9393
Tha_R_8_1,右侧丘脑_8_1,726.5953,105.9967,620.5987-832.592,620.5912,143.6033,476.9879-764.1945
Tha_L_8_2,左侧丘脑_8_2,98.55423,36.0723,62.4819-134.6265,110.2611,43.33792,66.9232-153.599
Tha_R_8_2,右侧丘脑_8_2,309.7679,36.31049,273.4575-346.0784,297.2014,43.56866,253.6328-340.7701
Tha_L_8_3,左侧丘脑_8_3,316.6198,46.23335,270.3865-362.8531,299.2646,52.03792,247.2267-351.3025
Tha_R_8_3,右侧丘脑_8_3,380.9339,47.08813,333.8458-428.0221,360.1953,55.60524,304.5901-415.8005
Tha_L_8_4,左侧丘脑_8_4,680.4784,87.74143,592.7369-768.2198,579.3795,92.55447,486.825-671.934
Tha_R_8_4,右侧丘脑_8_4,747.5875,113.7099,633.8776-861.2974,632.5645,116.962,515.6025-749.5265
Tha_L_8_5,左侧丘脑_8_5,863.1629,109.4371,753.7258-972.6,768.1818,143.2564,624.9254-911.4382
Tha_R_8_5,右侧丘脑_8_5,782.0609,99.68182,682.379-881.7427,689.0685,130.6353,558.4332-819.7039
Tha_L_8_6,左侧丘脑_8_6,707.5895,92.83294,614.7565-800.4224,609.0547,115.4128,493.6418-724.4675
Tha_R_8_6,右侧丘脑_8_6,594.6122,81.27318,513.339-675.8854,504.9567,98.07036,406.8864-603.0271
Tha_L_8_7,左侧丘脑_8_7,726.9509,89.10972,637.8412-816.0607,642.5167,107.6665,534.8502-750.1832
Tha_R_8_7,右侧丘脑_8_7,498.9325,57.39185,441.5406-556.3243,445.0937,66.59824,378.4955-511.6919
Tha_L_8_8,左侧丘脑_8_8,947.9188,108.5862,839.3326-1056.505,868.9692,141.0996,727.8696-1010.0688
Tha_R_8_8,右侧丘脑_8_8,1118.523,138.5154,980.0079-1257.0387,989.2911,180.6113,808.6798-1169.9023
